NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;Sepatu;Sepatu;kerajinan;Kp. Seketando  RT. 01 RW. 13 Cangkorah Batujajar;2016;2;20000000;12000000;;;2017/02/25;3;3
;Galanggang;Pupuk;kerajinan;Kp.Dungus Purna RT 03/08 Desa  Galanggang  Batujajar;2010;0;50000000;15000000;;;2017/02/26;3;3
;Bata Merah;Bata Merah;kerajinan;Kp. Seketendo RT. 01 RW 13  Cangkorah Batujajar;2017;3;6000000;30000000;;;2017/02/27;3;3
;BIPIK       ;Industrio Perekat Lem ;kerajinan;P:Kp.Cicangkuang  Giri asih Batujajar;2005;3;5000000;2000000;;;2017/02/28;3;3
;Kelompok Usaha Lilitan Travo;Pengrajin Lilitan Travo;kerajinan;Blok Sukamaju RT 04/RW 12 Batujajar Barat Batujajar;2001;4;5000000;2500000;081320309164;;2017/03/01;3;3
;Jaya Laksana;Percetakan Batako;kerajinan;Blok Ranca RT 02 RW 02 Batujajar Barat Batujajar;2005;2;25000000;2000000;;;2017/03/02;3;3
;Farya Jeni Hand;Patung, Lukisan Dari Daur Ulang Kertas;kerajinan;Rt.03/Rw.170-186 Galanggang Batujajar;2003;1;60000000;1000000;081 561 828 93;;2017/03/03;3;3
;pres batako ;bikin batako pres;kerajinan;kp.gunung halu rt 01/05 giriasih  batujajar ;2011;3;37000000;2000000;081214389639;;2017/03/04;3;3
;mebeul mekar wangi ;mebel ;kerajinan;kp.seketando rt 02/13 cangkorah  batujajar ;2015;4;15000000;10000000;089682480297;;2017/03/05;3;3
;pengrajin ;pembuatan kusen ;kerajinan;kp. Andir rt. 02/03 gadobangkong  batujajar ;2002;1;13000000;14000000;;;2017/03/06;3;3
;pengrajin ;pembuatan kusen ;kerajinan;kp. Sasak besi  gadobangkong  batujajar ;2001;1;36000000;16000000;;;2017/03/07;3;3
;rumah seni nu ;rajutan,pernak pernik, lukisan ;kerajinan;jl. Raca bogo no. 20 rt 02/06 gadobangkong  batujajar ;2011;2;65000000;15500000;;;2017/03/08;3;3
;ateja multi industri ;pertenunan,peryempurnaan ;kerajinan;jl. Raya gadobangkong  gadobangkong  batujajar ;2016;0;65000000;40000000;;;2017/03/09;3;3
;UMKM Bunga Melati;Sistik Basreng;Kuliner;Jln. SMP  Batujajar Barat Batujajar;2011;4;12000000;20000000;;;2017/03/10;3;3
;Pengrajin;Ranginang;Kuliner;Kp. Selacau RT 02 RW3 Selacau Batujajar;2003;3;12000000;20000000;;;2017/03/11;3;3
;Bunga Melati;Makanan;Kuliner;Jl. SMP RT. 01/RW. 03 Ds. Batujajar Barat Batujajar Barat Batujajar;2016;5;12000000;1500000;;;2017/03/12;3;3
;Sakinah;Makanan;Kuliner;Jl. Selacau RT. 01/02  Batujajar Batujajar;2010;4;10000000;1000000;;;2017/03/13;3;3
;Keripik Pisang;Keripik Pisang;Kuliner;Kp. Cukangbatu RT. 02 RW 06 Cipageran Batujajar;2017;5;15000000;1200000;;;2017/03/14;3;3
;CV. Sinergi Wijaya;Aneka Produk Rosella;Kuliner;Perum Puspa Regensi Blok C 01  Batujajar Timur Batujajar;2005;4;24000000;4000000;;;2017/03/15;3;3
;UMKM “Dungus Purna”;Makanan&Minuman;Kuliner;Kp.Dungus Purna RT 02/10 Desa  Galanggang Batujajar;2001;8;15000000;3000000;6861335/08122332841;;2017/03/16;3;3
;Karya Mandiri;Kerupuk Cireng;Kuliner;Jl. Raya Batujajar No.280 Galanggang Batujajar;2005;7;11000000;3500000;;;2017/03/17;3;3
;Boga Rasa;Makanan;Kuliner;Kp.Citanjung RT02/01 Desa  Galanggang  Batujajar;2003;7;15000000;3000000;081321530732;;2017/03/18;3;3
;UKM Melati;Aneka makanan Ringan;Kuliner;Kp. Neglasari RT. 03/RW. 14 Ds. Galanggang Galanggang Batujajar;2011;10;20000000;6000000;;;2017/03/19;3;3
;Pembuatan Kerupuk;Pembuatan Kerupuk;Kuliner;Kp. Lemahdulur RT. 03 RW. 02 Girimukti Batujajar;2015;3;20000000;5000000;;;2017/03/20;3;3
;Vini Vidi Vici;Makanan Ringan, Aneka Kue;Kuliner;Jl.Terusan SMP RT 02/15  Batujajar Barat Batujajar;2002;6;15000000;2000000;;;2017/03/21;3;3
;UMKM SUSU MURNI;Susu Murni;Kuliner;Kp. Citunjung RT. 03/03 Ds. Batujajar Timut Kec. Batujajar Kab. Bandung Barat  Batujajar Timur Batujajar;2001;7;10000000;2000000;08156200874;;2017/03/22;3;3
;CV. Uyut ;Aneka makanan Ringan;Kuliner;Jl. Raya Batujajar No. 148 RT 02/12 Giriasih Giriasih Batujajar;2011;3;16000000;2000000;;;2017/03/23;3;3
;Rossy;Donat, kue kering& Bolu;Kuliner;Kp. Sinar Mukti No. 104 Rt 02/01 Selacau Batujajar;2016;5;12500000;10000000;081320252599;;2017/03/24;3;3
;Selera Rasa;Abon Ikan;Kuliner;Puspa Regency Blok A-33 RT 09/09 Batujajar Timur Batujajar;2010;2;12000000;1000000;02291332233;;2017/03/25;3;3
;Keripik Pisang;Keripik Pisang;Kuliner;Kp. Cukangbatu RT. 02 RW 06 Cipageran Batujajar;2012;3;6000000;1000000;085793542481;;2017/03/26;3;3
;Kurnia mas Busana ;;Kuliner;Cihurip RT 01 RW 12 Pagauban Batujajar;2001;8;15000000;1000000;;;2017/03/27;3;3
;UMKM NS Sehati;Tempe Pedas;Kuliner;Kp. Girimulya RT. 02/09  Selacau Batujajar;2011;5;12000000;2000000;085722281043;;2017/03/28;3;3
;UMKM Rumah Crispy ;Makanan ringan;Kuliner;Jl. SMP Gg. Mandiri III No. 9 Batujajar Barat Batujajar;2016;8;21000000;25000000;;;2017/03/29;3;3
;Sadar jaya;Payet, Kerupuk, Jaket Kulit, Bekam;Kuliner;Blok Sukamaju No.33 RT 02/12  Batujajar Barat Batujajar;2010;3;20000000;25000000;;;2017/03/30;3;3
;Pembuatan Kerupuk;Pembuatan Kerupuk;Kuliner;Kp. Lemahdulur RT. 03 RW. 02 Girimukti Batujajar;2007;8;10000000;1500000;085624789822;;2017/03/31;3;3
;Pengrajin;Kecap manis;Kuliner;Kp. Dunguspurna  RT. 03 RW. 08 Galanggang Batujajar;2006;4;12000000;6000000;;;2017/04/01;3;3
;Pengrajin;Pembuatan Tahu;Kuliner;Kp. Seketando No. 13 RT. 02 RW. 09 Cangkorah Batujajar;2016;4;12000000;1500000;;;2017/04/02;3;3
;Noesje Cookies;Kue dan Cookie;Kuliner;Puspa Regency B-40 Batujajar Timur Batujajar;2007;3;10000000;10000000;;;2017/04/03;3;3
;Boga Rasa;Jajanan Pasar;Kuliner;Kp.Cisanjung RT 02/RW 01 Galanggang Batujajar;2006;4;10000000;30000000;081321265765;;2017/04/04;3;3
;Prima Catering;Catering;Kuliner;Kp.Pasir Paku RT 02 Giri Asih Batujajar;2006;4;10000000;2000000;0817623970;;2017/04/05;3;3
;Tiga Saudara;Catering;Kuliner;Blok Pasantren No.39 RT 01/RW 07 Batujajar Barat Batujajar;2001;3;15000000;2500000;081221197757;;2017/04/06;3;3
;Kelompok Pengusaha Kecil Giriasih KPKG;Keripik Cimol;Kuliner;Perum Giri Asih Blok C-4 RT 03/RW 14 Giri Asih Batujajar;2010;5;11500000;2000000;;;2017/04/07;3;3
;Kelompok Pengrajin Keripik Pisang Bangkit;Keripik Pisang;Kuliner;Blok Warungpulus RT 02/RW 14 Batujajar Barat Batujajar;2012;7;10000000;1000000;081395082744;;2017/04/08;3;3
;Karya Mandiri;Kerupuk Cireng;Kuliner;Jl. Raya Batujajar No.280 Galanggang Batujajar;2005;8;10000000;2000000;;;2017/04/09;3;3
;Vini Vidi Vici;Makanan Ringan, Aneka Kue;Kuliner;Jl.Terusan SMP RT 02/15  Batujajar Barat Batujajar;2007;7;10000000;10000000;081321530732;;2017/04/10;3;3
;Ika kartika;Baso dan makanan;Kuliner;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2006;2;12000000;20000000;08156200874;;2017/04/11;3;3
;Aisyah;Gorengan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2011;8;12000000;20000000;;;2017/04/12;3;3
;Eka Sulastri;Baso;Kuliner;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2007;3;12000000;1500000;;;2017/04/13;3;3
;Esih;Gorengan;Kuliner;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2012;2;10000000;1000000;;;2017/04/14;3;3
;Yoyoh;Gorengan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2016;4;15000000;1200000;;;2017/04/15;3;3
;Sukaesih;Gorengan;Kuliner;Kp Cihurip RT03 Rw 11  Pangauban  Batujajar;2010;3;24000000;4000000;;;2017/04/16;3;3
;Empon ;Lotek & Masakan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2003;5;15000000;3000000;;;2017/04/17;3;3
;Iim;Makanan;Kuliner;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2010;5;11000000;3500000;;;2017/04/18;3;3
;Oo;Makanan;Kuliner;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2012;8;15000000;3000000;;;2017/04/19;3;3
;Ati Damayanti;Baso;Kuliner;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2015;7;20000000;6000000;;;2017/04/20;3;3
;Aceng;Baso;Kuliner;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2009;8;20000000;5000000;;;2017/04/21;3;3
;Erna;Baso;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;7;15000000;2000000;;;2017/04/22;3;3
;Ai;Gorengan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2007;2;10000000;2000000;;;2017/04/23;3;3
;Enung;Makanan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2015;9;16000000;2000000;;;2017/04/24;3;3
;Imas Tuti;Makanan;Kuliner;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2010;7;12500000;10000000;;;2017/04/25;3;3
;Neni;Warung;Kuliner;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2007;7;12000000;1000000;;;2017/04/26;3;3
;Iwan;Warung;Kuliner;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2017;1;6000000;1000000;087822480548;;2017/04/27;3;3
;Wulan Sari;Baso;Kuliner;Kp Cihurip RT 03 Rw 11 Pangauban  Batujajar;2005;4;15000000;1000000;085316507187;;2017/04/28;3;3
;Euis ;Baso;Kuliner;Kp Cibodas RT 02 Rw 08 Galanggang Batujajar;2010;10;12000000;2000000;085353924002;;2017/04/29;3;3
;Hatchi Takoyaki;hidangan Jepang;Kuliner;Puspa Regency B.178 Batujajar Timur Batujajar;2001;3;11500000;5000000;0812117894069;;2017/04/30;3;3
;Produksi Ranginang;Rangginang;Kuliner;Panca Tengah RT.07/03 Batujajar Barat Batujajar;2005;1;24000000;2000000;;;2017/05/01;3;3
;Dodi Kusniadi;Jual Beli Makanan+Minuman;Kuliner;Cibeber hilir RT.03/02 Giri Asih Batujajar;2010;4;12000000;20000000;085314238201;;2017/05/02;3;3
;Rangginang;Rangginang;Kuliner;Panca Tengah RT.07/03 Batujajar Barat Batujajar;2012;4;11050000;3500000;081809958090;;2017/05/03;3;3
;QQ Cookies;;Kuliner;Kp.Galanggang Galanggang Batujajar;2013;4;10000000;2000000;;;2017/05/04;3;3
;Sari Rasa;Kerupuk (Sari Rasa);Kuliner;Blok Pesantren RT.05/07 Batujajar Timur Batujajar;2005;6;14000000;1500000;081904719670;;2017/05/05;3;3
;GU UYUT;;Kuliner;Jl.Raya Batujajar No.148 Giri Asih Batujajar;2005;4;10000000;1500000;081322142809;;2017/05/06;3;3
;Sakinah;Makanan Ringan;Kuliner;Jl.Selacau RT.01/02 Selacau Batujajar;2003;5;24000000;3000000;085353566963;;2017/05/07;3;3
;BTJ(Batagor Mang Jang);Batagor;Kuliner;Citunjung Batujajar Timur Batujajar;2002;4;10000000;5000000;085316502144;;2017/05/08;3;3
;MMS Barokah;Susu Murni,yoghurt;Kuliner;Kp.Citunjung RT.03/03 Batujajar Timur Batujajar;2001;6;50000000;5000000;;;2017/05/09;3;3
;Warung Sosis Bakar;Sosis Bakar;Kuliner;Kp.Wargasaluyu Giri Asih Batujajar;2014;2;50000000;5000000;;;2017/05/10;3;3
;Fachoco;Coklat;Kuliner;Kp.Hegarmanah 2 Rt.02/Rw.03 Galanggang Batujajar;2012;7;45000000;6000000;;;2017/05/11;3;3
;Cilok Menak Parahyangan;Cilok;Kuliner;Jl.Smp Blok Panatengah Rt.05/Rw.03 Batujajar Barat Batujajar;2008;2;12000000;1000000;;;2017/05/12;3;3
;Kedai Duren Combi;Kuliner;Kuliner;Jl. Raya Batujajar 294 Galanggang Batujajar;2007;3;12000000;1000000;;;2017/05/13;3;3
;Hatchi Takoyaki;Frozen Food;Kuliner;Puri Intan Lestari Blok A3 No.29 RT.01 RW.16 Batujajar Timur Batujajar;1989;5;70000000;20000000;;;2017/05/14;3;3
;kelompok uppks merpati 8;keripik singkong manis pedas;Kuliner;pk.gunung aki rt 02/08 batujajar timur batujajar;2015;5;65000000;20000000;;;2017/05/15;3;3
;warung kecil;makanan ringan;Kuliner;kp.seketando rt 02/17 cangkorah batujajar;2010;12;50000000;3500000;;;2017/05/16;3;3
;bandros;;Kuliner;kp.haur nyondol rt 01/06 cangkorah batujajar;2015;4;10000000;2000000;;;2017/05/17;3;3
;Warung Bandros;bandros;Kuliner;kp.cigintungrt 02/02 cangkorah batujajar;2007;6;5000000;1000000;;;2017/05/18;3;3
;mandiri;makanan;Kuliner;kp.sesekon rt 01/07 cangkorah batujajar;2017;3;15000000;1200000;;;2017/05/19;3;3
;warung kopi ;rujak keliling ;Kuliner;kp.cigintung rt 01/05 cangkorah batujajar ;2003;8;50000000;4000000;;;2017/05/20;3;3
;dagang warung nasi ;makanan ;Kuliner;kp.pangauban rt 05/05 pangauban  batujajar ;1999;6;32000000;3000000;;;2017/05/21;3;3
;jual bubur nasi uduk ;bubur ayam ;Kuliner;kp.haur nyondol rt 01/06 cangkorah batujajar ;2000;8;30000000;3500000;;;2017/05/22;3;3
;warung ;kebutuhan poko ;Kuliner;kp.pangauban rt 01/05 pangauban batujajar;2011;4;40000000;3000000;;;2017/05/23;3;3
;warung sembako ;rumah/warung ;Kuliner;kp.cibodas rt 03/08 pangauban  batujajar ;2011;4;20000000;6000000;;;2017/05/24;3;3
;mandiri;sembako/makanan ringan;Kuliner;kp.haur nyondol rt 01/06 cangkorah batujajar;2016;2;20000000;5000000;;;2017/05/25;3;3
;usaha mandiri;sembako/ makanan anak;Kuliner;kp.haur nyondol rt 01/06 cangkorah batujajar;2000;9;30000000;2000000;;;2017/05/26;3;3
;sosis bakar;bakar;Kuliner;kp.cigintung rt 02/05 cangkorah batujajar;2005;5;9000000;2000000;;;2017/05/27;3;3
;gorengan;tahu pedas, jamur crispy;Kuliner;ci beber hilir rt 02/02 giri-asih batujajar;2014;4;18500000;2000000;;;2017/05/28;3;3
;warung;klontong + seblak ;Kuliner;cibeber rt 02/02 giri asih batujajar;2007;5;32500000;5000000;;;2017/05/29;3;3
;usaha mandiri;lotek dll;Kuliner;kp.cibeber hilir rt 04/02 giri saih batujajar;2010;6;16000000;3000000;;;2017/05/30;3;3
;goreng tahu galing ;tahu galing;Kuliner;kp.cibeber hilir rt 02/03 giri asih  batujajajr ;2012;5;12500000;2000000;;;2017/05/31;3;3
;goreng-goreng edun ;goreng-gorengan ;Kuliner;Kp. Cibeber hilir RT. 04/02  giri asih  batujajar ;2008;7;90000000;10000000;;;2017/06/01;3;3
;gorengan;makanan,minuman,sembako ;Kuliner;kp. Cibeber hilir RT. 03/02 giri asih  batujajar ;2008;9;180000000;15000000;;;2017/06/02;3;3
;warung makan ringan ;makanan ringan;Kuliner;kp. Cibeber hilir RT. 02/02  giri asih  batujajar ;2003;2;20000000;2000000;;;2017/06/03;3;3
;warung jajanan enak / bubur ayam ;makanan ringan/bakso;Kuliner;kp. Cibeber hilir RT. 03/02 giri asih  batujajar ;2012;7;30000000;15000000;;;2017/06/04;3;3
;warung es krim;es krim;Kuliner;kp.cibeber hilir rt 03/02 giri asih batujajar ;2010;6;6000000;60000000;;;2017/06/05;3;3
;warung bakso ;bakso;Kuliner;kp.cibeber hilir rt 04/02 giri asih batujajar ;2001;3;36000000;5000000;;;2017/06/06;3;3
;usaha mandiri;rica;Kuliner;kp.cibeber hilir rt 01/02 giri asih batujajar ;2004;5;10000000;5000000;;;2017/06/07;3;3
;warung makan;lepet naga ;Kuliner;kp.cibeber hilir rt02/02 giri asih batujajar;2011;4;20000000;12000000;;;2017/06/08;3;3
;gorengan ;combro,pisang,gehu ;Kuliner;kp.cibeber hilir rt 02/02 giri asih batujajar ;2012;1;50000000;15000000;;;2017/06/09;3;3
;warung gorengan;makanan ringan;Kuliner;kp.seketando rt 02/17 cangkorah batujajar;2010;6;6000000;30000000;;;2017/06/10;3;3
;warung tambal ban ;jajanan ringan ;Kuliner;kp.sampih manggu rt 02/11 cangkorah batujajar;2007;3;5000000;2000000;085 720 349 820;;2017/06/11;3;3
;warung kopi ;warung kopi;Kuliner;kp.haur nyondol rt 01/06 cangkorah batujajar;2010;6;5000000;2500000;081 224 704 079;;2017/06/12;3;3
;warung makanan ;warung;Kuliner;kp.sekekendel rt 01/07 cangkorah batujajar;2015;1;25000000;2000000;085794413439;;2017/06/13;3;3
;warung;mie baso;Kuliner;kp.cihuriprt 03 /12  pangauban  batujajar ;2002;6;60000000;1000000;085222203870;;2017/06/14;3;3
;warung ;mie baso ;Kuliner;kp.cibogo rt 04/12 pangauban  batujajar ;2006;7;37000000;2000000;082121454414;;2017/06/15;3;3
;dagang ;jualan gorengan ;Kuliner;kp. Neglasari rt. 03/15 galanggan  batujajar ;2017;2;15000000;10000000;085222557127;;2017/06/16;3;3
;bubur ayam keliling ;bubur ayam ;Kuliner;kp. Warung pulos rt. 02/09 galanggang  batujajar ;2005;5;13000000;14000000;;;2017/06/17;3;3
;Sembako;Perdagangan Sembako;perdagangan;Blok Babakan Sari Rt 01 Rw 06 Batujajar Barat Batujajar;2007;1;180000000;15000000;02291814992;;2017/06/18;3;3
;Lilis Sumarti;Perdagangan Sembako;perdagangan;Kp. Warung Pulus Rt.002 Rw.009 Galanggang  Batujajar;2008;2;20000000;2000000;081910237052;;2017/06/19;3;3
