NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;konfeksi ;Konveksi;fashion;kp. Cibogo rt. 04/12 pangauban Batujajar;2016;3;2000000;37000000;;;2018/01/25;3;3
;berdikan (kompeksi);Konveksi;fashion;kp. Cimanglio rt. 02/15  cangkorah  Batujajar;2015;3;2500000;15000000;;;2018/01/26;3;3
;menjahit ;Penjahit;fashion;kp.sampih manggu rt 02/11 cangkorah  Batujajar;2013;3;2000000;13000000;082310279278;;2018/01/27;3;3
;konfeksi ;Konveksi;fashion;kp.sampihmanggu rt 03/11 cangkorah  Batujajar;2011;4;1000000;15000000;081321079342;;2018/01/28;3;3
;konveksi (jaket);Konveksi Jaket;fashion;kp sampih manggu rt 02/11 cangkorah  Batujajar;2008;2;2000000;50000000;085795260756;;2018/01/29;3;3
;menjahit ;Penjahit;fashion;kp. Sampih manggu rt, 02/11 cangkorah  Batujajar;2007;2;10000000;32000000;;;2018/01/30;3;3
;konveksi;Konveksi;fashion;kp. Sampih manggu rt. 03/11 cangkorah  Batujajar;2008;2;14000000;30000000;085795223650;;2018/01/31;3;3
;jahit / pria wanita;Toko Jaket;fashion;kp.jl hegar manah 11 Galanggang  Batujajar;2012;3;16000000;40000000;089671056671;;2018/02/01;3;3
;kelompok usaha hijab ;Produsen hijab;fashion;pondok dustira rt. 04/09  Gadobangkong  Batujajar;2013;3;15500000;20000000;;;2018/02/02;3;3
;darma sejahtera ;Toko Baju;fashion;jl. Raya gadobangkong no.15 rt.02/03 Gadobangkong  Batujajar;2008;5;18000000;32500000;;;2018/02/03;3;3
;Kelompok Usaha Mitra Mandiri;Konveksi;fashion;Kp. Sinarmukti Selacau Selacau Batujajar;2012;3;3000000;16000000;;;2018/02/04;3;3
;Konveksi ;Pakaian;fashion;Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar;2008;3;2000000;12500000;;;2018/02/05;3;3
;Mitra Saluyu;Konfeksi;fashion;Kp. Seketando RT. 02 RW. 03 Cangkorah Batujajar;2016;5;10000000;90000000;;;2018/02/06;3;3
;Home Industri [Konveksi];Pakaian;fashion;Kp. Seketando RT. 02 RW. 04 Batujajar Timur Batujajar;2012;3;15000000;180000000;;;2018/02/07;3;3
;Kelompok Usaha Bersama Citar Mandiri;Pakaian Jadi;fashion;Jl. Raya Batujajar  Selacau Batujajar;2017;1;2000000;20000000;;;2018/02/08;3;3
;Kelompok Usaha Konveksi AL-HARITS;Konveksi;fashion;Jl.Pasirpaku RT 02/07 Desa  Giriasih Batujajar;2008;1;15000000;30000000;;;2018/02/09;3;3
;Rizki Collection;Konveksi;fashion;Blok Pesantren RT 01/07 Desa  Batujajar Barat  Batujajar;2012;4;60000000;6000000;;;2018/02/10;3;3
;Konpeksi;Toko Baju;fashion;P.Kp.BBK Pari Rt.01/04 Batujajar Timur Batujajar;2010;1;5000000;36000000;;;2018/02/11;3;3
;Penjahit Pakaian Kumbang Jaya;Konveksi, Penjahit;fashion;Jl.Raya Kaum Selatan (depan PDAM) Batujajar Barat Batujajar;2005;2;5000000;10000000;;;2018/02/12;3;3
;Kel. Bina Sejahtera;Konveksi Jas Hujan;fashion;P:Kp.Cihurip Rt.03/12  Pangauban Batujajar;2008;3;12000000;20000000;;;2018/02/13;3;3
;Kel. Dian Collection;Busana Payet;fashion;jl. Raya gadobangkong no.15 rt.02/14 Gadobangkong  Batujajar;2009;3;15000000;50000000;;;2018/02/14;3;3
;Busana Payet;Payet;fashion;P:Kp.Cihurip Rt.03/12  Gadobangkong  Batujajar;2013;2;1000000;43000000;;;2018/02/15;3;3
;Busana Sawargi;Konveksi;fashion;P:Jl Sinar Mukti Rt.002/004  Gadobangkong  Batujajar;2015;1;500000;11000000;;;2018/02/16;3;3
;Mulya Busana;Toko Baju;fashion;P:Jl Sinar Mukti Rt.002/005 Gadobangkong  Batujajar;2016;2;5000000;12000000;;;2018/02/17;3;3
;Mulya Busana Group;Konveksi;fashion;Jl. Sinar Jaya No 122 A Pangauban Batujajar;2015;3;6000000;300000000;;;2018/02/18;3;3
;Bearland Colloction;Bordel;fashion;kp.dunguspurna rt 01/08 Selacau Batujajar;2016;4;500000;168000000;;;2018/02/19;3;3
;Viking Cikalong;Baju Persib;fashion;Kp. Sinarmukti Selacau Batujajar Barat Batujajar;2010;1;5,000,000;648000000;;;2018/02/20;3;3
;Fikri Fahri Collection;Topi;fashion;Kp.Sciceuri No 49 RT. 01RW. 02 Sinarjaya Batujajar;2006;3;2000000;15000000;;;2018/02/21;3;3
;SARLON ;Tailor;fashion;Jl. Cimareme No 89 A Galanggang Batujajar;2012;4;2000000;13000000;;;2018/02/22;3;3
;SABLON ;Tailor;fashion;Jl. Raya Batujajar No 17 A  Selacau Batujajar;2007;4;2000000;50000000;;;2018/02/23;3;3
;pedagang pakain ;Tailor;fashion;Jl.Raya Batujajar No 222 Cangkorah Batujajar;2014;3;10000000;15000000;;;2018/02/24;3;3
;Andini Collection;Konveksi ;fashion;Kp. Warungpulus Gelanggang Batujajar;2008;4;1000000;15000000;;;2018/02/25;3;3
;Konveksi;Konveksi;fashion;Kp. Warung pulus No 53 Rt 03/13 Batujajar Barat Batujajar;2011;2;1000000;8000000;;;2018/02/26;3;3
;Tailor;Konveksi;fashion;Kp. Warungpulus No. 13 RT 02 RW. 09 Galanggang Batujajar;2012;5;1000000;20000000;;;2018/02/27;3;3
;Tailor;Konveksi ;fashion;Blok Panca Tengah RT 05/03  SMPN 1 Batujajar  Batujajar Barat Batujajar;2015;5;2000000;720000000;;;2018/02/28;3;3
;Tailor;Konveksi;fashion;Blok.Ranca RT 01 RW 02 Batujajar Barat Batujajar;2017;2;25000000;18000000;;;2018/03/01;3;3
;Konveksi Kelompok Mawar;Kaos, aksesoris, Mangset Dan Topi;fashion;Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar;2017;4;25000000;12000000;;;2018/03/02;3;3
;Kelompok Usaha Konveksi Bandung Barat”;Kaos, aksesoris, Mangset Dan Topi;fashion;Blok Pancatengah 03/04 Jl.SMP Desa  Batujajar Barat Batujajar;2006;4;1500000;120000000;;;2018/03/03;3;3
;Pengrajin;Anyaman Bambu;kerajinan;Kp. Warungpulus Gelanggang Batujajar;2010;2;5000000;;;;2018/03/04;3;3
;Dona Sepatu Lukis;Sepatu Lukis;kerajinan;Kp. Warung pulus No 53 Rt 03/13 Batujajar Barat Batujajar;2015;2;3000000;32500000;;;2018/03/05;3;3
;Pengrajin;Rajutan;kerajinan;Kp. Warungpulus No. 13 RT 02 RW. 09 Galanggang Batujajar;2002;2;2000000;16000000;081573245507;;2018/03/06;3;3
;Bejo Citra Mandiri;Anyaman Bambu;kerajinan;Blok Panca Tengah RT 05/03  SMPN 1 Batujajar  Batujajar Barat Batujajar;2006;4;10000000;12500000;;;2018/03/07;3;3
;Rajut Barokah;Kain Rib;kerajinan;Blok.Ranca RT 01 RW 02 Batujajar Barat Batujajar;2017;2;15000000;90000000;081221711850;;2018/03/08;3;3
;Daur ulang plastik;Daur ulang plastik;KERAJINAN;Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar;2005;3;2000000;180000000;02270028438;;2018/03/09;3;3
;Elis;Sepatu;kerajinan;Blok Pancatengah 03/04 Jl.SMP Desa  Batujajar Barat Batujajar;2012;3;15000000;20000000;;;2018/03/10;3;3
;Cindeart;Kerajinan Limbah Pohon pisang;kerajinan;Jl. SMP Blok Panca Tengah Rt 03 Rw 05 Batujajar Barat Batujajar;2006;3;60000000;30000000;081394339590;;2018/03/11;3;3
;Penrajin;Sepatu;kerajinan;Kp. Seketando  RT. 01 RW. 13 Cangkorah Batujajar;2011;3;5000000;6000000;02295766718;;2018/03/12;3;3
;Pengrajin;Pengrajin sepatu;kerajinan; Girimukti Batujajar;2003;2;5000000;36000000;;;2018/03/13;3;3
;Sepatu;Sepatu;kerajinan;Kp. Seketando  RT. 01 RW. 13 Cangkorah Batujajar;2016;5;12000000;10000000;;;2018/03/14;3;3
;Galanggang;Pupuk;kerajinan;Kp.Dungus Purna RT 03/08 Desa  Galanggang  Batujajar;2010;2;15000000;20000000;;;2018/03/15;3;3
;Bata Merah;Bata Merah;kerajinan;Kp. Seketendo RT. 01 RW 13  Cangkorah Batujajar;2017;4;30000000;50000000;;;2018/03/16;3;3
;BIPIK       ;Industrio Perekat Lem ;kerajinan;P:Kp.Cicangkuang  Giri asih Batujajar;2005;3;2000000;6000000;;;2018/03/17;3;3
;Kelompok Usaha Lilitan Travo;Pengrajin Lilitan Travo;kerajinan;Blok Sukamaju RT 04/RW 12 Batujajar Barat Batujajar;2001;4;2500000;5000000;;;2018/03/18;3;3
;Jaya Laksana;Percetakan Batako;kerajinan;Blok Ranca RT 02 RW 02 Batujajar Barat Batujajar;2005;2;2000000;5000000;081320309164;;2018/03/19;3;3
;Farya Jeni Hand;Patung, Lukisan Dari Daur Ulang Kertas;kerajinan;Rt.03/Rw.170-186 Galanggang Batujajar;2003;3;1000000;25000000;;;2018/03/20;3;3
;pres batako ;bikin batako pres;kerajinan;kp.gunung halu rt 01/05 giriasih  batujajar ;2011;3;2000000;60000000;081 561 828 93;;2018/03/21;3;3
;mebeul mekar wangi ;mebel ;kerajinan;kp.seketando rt 02/13 cangkorah  batujajar ;2015;4;10000000;37000000;081214389639;;2018/03/22;3;3
;pengrajin ;pembuatan kusen ;kerajinan;kp. Andir rt. 02/03 gadobangkong  batujajar ;2002;4;14000000;15000000;089682480297;;2018/03/23;3;3
;pengrajin ;pembuatan kusen ;kerajinan;kp. Sasak besi  gadobangkong  batujajar ;2001;1;16000000;13000000;;;2018/03/24;3;3
;rumah seni nu ;rajutan,pernak pernik, lukisan ;kerajinan;jl. Raca bogo no. 20 rt 02/06 gadobangkong  batujajar ;2011;2;15500000;36000000;;;2018/03/25;3;3
;ateja multi industri ;pertenunan,peryempurnaan ;kerajinan;jl. Raya gadobangkong  gadobangkong  batujajar ;2016;1;40000000;65000000;;;2018/03/26;3;3
;MEBEUL ILHAM;JUALAN NASI KUNING DAN PENGRAJIN MEUBEL;Industri Pengolahan (Kerajinan);KP.HAURNGONDOL RT.002 RW.006                   DESA CANGKORAH Cangkorah batujajar;2010;4;45000000;65000000;;;2018/03/27;3;3
;RAHAYU FURNITURE                                  ;MEMBUAT CETAKAN KANCING (MESIN GRAFIR);Industri Pengolahan (Kerajinan);KP.SEKETANDO RT.002 RW.013                            DESA CANGKORAH 0457 9456 5524 Cangkorah batujajar;2008;3;15000000;13000000;;;2018/03/28;3;3
;EXO FURNITURE                                ;FURNITURE;Industri Pengolahan (Kerajinan);BATUJAJAR INDAH I ASTER III BLOK B NO.2 RT.002 RW.013 DESA CANGKORAH Cangkorah batujajar;2007;4;4000000;36000000;;;2018/03/29;3;3
;KERAJINAN GERABAH;JUAL GERABAH;Industri Pengolahan (Kerajinan);PERUM BATUJAJAR INDAH II B I / 44B2 RT.003 RW.014 DESA BATUJAJAR TIMUR Batujajar Timur batujajar;2005;5;20000000;65000000;;;2018/03/30;3;3
;YANI MEUBEL;MEUBEL;Industri Pengolahan (Kerajinan);KP.BABAKAN PARI RT.001 RW.004                      DESA BATUJAJAR TIMUR Batujajar Barat batujajar;2008;7;13000000;65000000;;;2018/03/31;3;3
;PONITI FURNITURE;JUAL FURNITURE;Furniture;KP.SEKEBANGBARA RT.001 RW.012                       DESA CANGKORAH Cangkorah batujajar;2014;5;15000000;60000000;;;2018/04/01;3;3
;FISH MEUBEL                                                   ;JUAL FURNITURE;Furniture;KP.BABAKANPARI RT.003 RW.004 BATUJAJAR TIMUR                                                                   Batujajar Timur batujajar;2011;2;15000000;20000000;;;2018/04/02;3;3
;""" SRI REJEKI JATI JEPARA ""                                                 ";MEUBEL;Industri Pengolahan (Kerajinan);BATUJAJAR INDAH I ASTER III BLOK B NO.2 RT.002 RW.013 DESA CANGKORAH Cangkorah batujajar;2010;4;15000000;10000000;;;2018/04/03;3;3
;UMKM Bunga Melati;Sistik Basreng;Kuliner;Jln. SMP  Batujajar Barat Batujajar;2011;4;20000000;12000000;;;2018/04/04;3;3
;Pengrajin;Ranginang;Kuliner;Kp. Selacau RT 02 RW3 Selacau Batujajar;2003;3;20000000;12000000;;;2018/04/05;3;3
;Bunga Melati;Makanan;Kuliner;Jl. SMP RT. 01/RW. 03 Ds. Batujajar Barat Batujajar Barat Batujajar;2016;5;1500000;12000000;;;2018/04/06;3;3
;Sakinah;Makanan;Kuliner;Jl. Selacau RT. 01/02  Batujajar Batujajar;2010;4;1000000;10000000;;;2018/04/07;3;3
;Keripik Pisang;Keripik Pisang;Kuliner;Kp. Cukangbatu RT. 02 RW 06 Cipageran Batujajar;2017;5;1200000;15000000;;;2018/04/08;3;3
;CV. Sinergi Wijaya;Aneka Produk Rosella;Kuliner;Perum Puspa Regensi Blok C 01  Batujajar Timur Batujajar;2005;4;4000000;24000000;;;2018/04/09;3;3
;UMKM “Dungus Purna”;Makanan&Minuman;Kuliner;Kp.Dungus Purna RT 02/10 Desa  Galanggang Batujajar;2001;8;3000000;15000000;6861335/08122332841;;2018/04/10;3;3
;Karya Mandiri;Kerupuk Cireng;Kuliner;Jl. Raya Batujajar No.280 Galanggang Batujajar;2005;7;3500000;11000000;;;2018/04/11;3;3
;Boga Rasa;Makanan;Kuliner;Kp.Citanjung RT02/01 Desa  Galanggang  Batujajar;2003;7;3000000;15000000;081321530732;;2018/04/12;3;3
;UKM Melati;Aneka makanan Ringan;Kuliner;Kp. Neglasari RT. 03/RW. 14 Ds. Galanggang Galanggang Batujajar;2011;10;6000000;20000000;;;2018/04/13;3;3
;Pembuatan Kerupuk;Pembuatan Kerupuk;Kuliner;Kp. Lemahdulur RT. 03 RW. 02 Girimukti Batujajar;2015;3;5000000;20000000;;;2018/04/14;3;3
;Vini Vidi Vici;Makanan Ringan, Aneka Kue;Kuliner;Jl.Terusan SMP RT 02/15  Batujajar Barat Batujajar;2002;6;2000000;15000000;;;2018/04/15;3;3
;UMKM SUSU MURNI;Susu Murni;Kuliner;Kp. Citunjung RT. 03/03 Ds. Batujajar Timut Kec. Batujajar Kab. Bandung Barat  Batujajar Timur Batujajar;2001;7;2000000;10000000;08156200874;;2018/04/16;3;3
;CV. Uyut ;Aneka makanan Ringan;Kuliner;Jl. Raya Batujajar No. 148 RT 02/12 Giriasih Giriasih Batujajar;2011;3;2000000;16000000;;;2018/04/17;3;3
;Rossy;Donat, kue kering& Bolu;Kuliner;Kp. Sinar Mukti No. 104 Rt 02/01 Selacau Batujajar;2016;5;10000000;12500000;081320252599;;2018/04/18;3;3
;Selera Rasa;Abon Ikan;Kuliner;Puspa Regency Blok A-33 RT 09/09 Batujajar Timur Batujajar;2010;2;1000000;12000000;02291332233;;2018/04/19;3;3
;Keripik Pisang;Keripik Pisang;Kuliner;Kp. Cukangbatu RT. 02 RW 06 Cipageran Batujajar;2012;3;1000000;6000000;085793542481;;2018/04/20;3;3
;Kurnia mas Busana ;;;Cihurip RT 01 RW 12 Pagauban Batujajar;2001;8;1000000;15000000;;;2018/04/21;3;3
;UMKM NS Sehati;Tempe Pedas;Tempe Pedas;Kp. Girimulya RT. 02/09  Selacau Batujajar;2011;5;2000000;12000000;085722281043;;2018/04/22;3;3
;UMKM Rumah Crispy ;Makanan ringan;Makanan ringan;Jl. SMP Gg. Mandiri III No. 9 Batujajar Barat Batujajar;2016;8;25000000;21000000;;;2018/04/23;3;3
;Sadar jaya;Payet, Kerupuk, Jaket Kulit, Bekam;Payet, Kerupuk, Jaket Kulit, Bekam;Blok Sukamaju No.33 RT 02/12  Batujajar Barat Batujajar;2010;3;25000000;20000000;;;2018/04/24;3;3
;Pembuatan Kerupuk;Pembuatan Kerupuk;Pembuatan Kerupuk;Kp. Lemahdulur RT. 03 RW. 02 Girimukti Batujajar;2007;8;1500000;10000000;085624789822;;2018/04/25;3;3
;Pengrajin;Kecap manis;Kecap manis;Kp. Dunguspurna  RT. 03 RW. 08 Galanggang Batujajar;2006;4;6000000;12000000;;;2018/04/26;3;3
;Pengrajin;Pembuatan Tahu;Pembuatan Tahu;Kp. Seketando No. 13 RT. 02 RW. 09 Cangkorah Batujajar;2016;4;1500000;12000000;;;2018/04/27;3;3
;Noesje Cookies;Kue dan Cookie;Kue dan Cookie;Puspa Regency B-40 Batujajar Timur Batujajar;2007;3;10000000;10000000;;;2018/04/28;3;3
;Boga Rasa;Jajanan Pasar;Jajanan Pasar;Kp.Cisanjung RT 02/RW 01 Galanggang Batujajar;2006;4;30000000;10000000;081321265765;;2018/04/29;3;3
;Prima Catering;Catering;Catering;Kp.Pasir Paku RT 02 Giri Asih Batujajar;2006;4;2000000;10000000;0817623970;;2018/04/30;3;3
;Tiga Saudara;Catering;Catering;Blok Pasantren No.39 RT 01/RW 07 Batujajar Barat Batujajar;2001;3;2500000;15000000;081221197757;;2018/05/01;3;3
;Kelompok Pengusaha Kecil Giriasih KPKG;Keripik Cimol;Keripik Cimol;Perum Giri Asih Blok C-4 RT 03/RW 14 Giri Asih Batujajar;2010;5;2000000;11500000;;;2018/05/02;3;3
;Kelompok Pengrajin Keripik Pisang Bangkit;Keripik Pisang;Keripik Pisang;Blok Warungpulus RT 02/RW 14 Batujajar Barat Batujajar;2012;7;1000000;10000000;081395082744;;2018/05/03;3;3
;Karya Mandiri;Kerupuk Cireng;Kerupuk Cireng;Jl. Raya Batujajar No.280 Galanggang Batujajar;2005;8;2000000;10000000;;;2018/05/04;3;3
;Vini Vidi Vici;Makanan Ringan, Aneka Kue;Makanan Ringan, Aneka Kue;Jl.Terusan SMP RT 02/15  Batujajar Barat Batujajar;2007;7;10000000;10000000;081321530732;;2018/05/05;3;3
;Ika kartika;Baso dan makanan;Baso dan makanan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2006;2;20000000;12000000;08156200874;;2018/05/06;3;3
;Aisyah;Gorengan;Gorengan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2011;8;20000000;12000000;;;2018/05/07;3;3
;Eka Sulastri;Baso;Baso;Kp Cihurip RT 03 Rw 11  Pangauban  Batujajar;2007;3;1500000;12000000;;;2018/05/08;3;3
;Esih;Gorengan;Gorengan;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2012;2;1000000;10000000;;;2018/05/09;3;3
;Yoyoh;Gorengan;Gorengan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2016;4;1200000;15000000;;;2018/05/10;3;3
;Sukaesih;Gorengan;Gorengan;Kp Cihurip RT03 Rw 11  Pangauban  Batujajar;2010;3;4000000;24000000;;;2018/05/11;3;3
;Empon ;Lotek & Masakan;Lotek & Masakan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2003;5;3000000;15000000;;;2018/05/12;3;3
;Iim;Makanan;Makanan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2010;5;3500000;11000000;;;2018/05/13;3;3
;Oo;Makanan;Makanan;Kp Banuraja RT 03 Rw 09  Pangauban  Batujajar;2012;8;3000000;15000000;;;2018/05/14;3;3
;Ati Damayanti;Baso;Baso;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2015;7;6000000;20000000;;;2018/05/15;3;3
;Aceng;Baso;Baso;Kp Banuraja RT 03 Rw 09 Pangauban  Batujajar;2009;8;5000000;20000000;;;2018/05/16;3;3
;Erna;Baso;Baso;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2012;7;2000000;15000000;;;2018/05/17;3;3
;Ai;Gorengan;Gorengan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2007;2;2000000;10000000;;;2018/05/18;3;3
;Enung;Makanan;Makanan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2015;9;2000000;16000000;;;2018/05/19;3;3
;Imas Tuti;Makanan;Makanan;Kp Cihurip RT 02 Rw 11  Pangauban  Batujajar;2010;7;10000000;12500000;;;2018/05/20;3;3
;Neni;Warung;Warung;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2007;7;1000000;12000000;;;2018/05/21;3;3
;Iwan;Warung;Warung;Kp Cihurip RT 01 Rw 11  Pangauban  Batujajar;2017;1;1000000;6000000;087822480548;;2018/05/22;3;3
;Wulan Sari;Baso;Baso;Kp Cihurip RT 03 Rw 11 Pangauban  Batujajar;2005;4;1000000;15000000;085316507187;;2018/05/23;3;3
;Euis ;Baso;Baso;Kp Cibodas RT 02 Rw 08 Galanggang Batujajar;2010;10;2000000;12000000;085353924002;;2018/05/24;3;3
;Hatchi Takoyaki;hidangan Jepang;hidangan Jepang;Puspa Regency B.178 Batujajar Timur Batujajar;2001;3;5000000;11500000;0812117894069;;2018/05/25;3;3
;Produksi Ranginang;Rangginang;Rangginang;Panca Tengah RT.07/03 Batujajar Barat Batujajar;2005;1;2000000;24000000;;;2018/05/26;3;3
;Dodi Kusniadi;Jual Beli Makanan+Minuman;Jual Beli Makanan+Minuman;Cibeber hilir RT.03/02 Giri Asih Batujajar;2010;4;20000000;12000000;085314238201;;2018/05/27;3;3
;Rangginang;Rangginang;Rangginang;Panca Tengah RT.07/03 Batujajar Barat Batujajar;2012;4;3500000;11050000;081809958090;;2018/05/28;3;3
;QQ Cookies;;;Kp.Galanggang Galanggang Batujajar;2013;4;2000000;10000000;;;2018/05/29;3;3
;Sari Rasa;Kerupuk (Sari Rasa);Kerupuk (Sari Rasa);Blok Pesantren RT.05/07 Batujajar Timur Batujajar;2005;6;1500000;14000000;081904719670;;2018/05/30;3;3
;GU UYUT;;;Jl.Raya Batujajar No.148 Giri Asih Batujajar;2005;4;1500000;10000000;081322142809;;2018/05/31;3;3
;Sakinah;Makanan Ringan;Makanan Ringan;Jl.Selacau RT.01/02 Selacau Batujajar;2003;5;3000000;24000000;085353566963;;2018/06/01;3;3
;BTJ(Batagor Mang Jang);Batagor;Batagor;Citunjung Batujajar Timur Batujajar;2002;4;5000000;10000000;085316502144;;2018/06/02;3;3
;MMS Barokah;Susu Murni,yoghurt;Susu Murni,yoghurt;Kp.Citunjung RT.03/03 Batujajar Timur Batujajar;2001;6;5000000;50000000;;;2018/06/03;3;3
;Warung Sosis Bakar;Sosis Bakar;Sosis Bakar;Kp.Wargasaluyu Giri Asih Batujajar;2014;2;5000000;50000000;;;2018/06/04;3;3
;Fachoco;Coklat;Coklat;Kp.Hegarmanah 2 Rt.02/Rw.03 Galanggang Batujajar;2012;7;6000000;45000000;;;2018/06/05;3;3
;Cilok Menak Parahyangan;Cilok;Cilok;Jl.Smp Blok Panatengah Rt.05/Rw.03 Batujajar Barat Batujajar;2008;2;1000000;12000000;;;2018/06/06;3;3
;Kedai Duren Combi;Kuliner;Kuliner;Jl. Raya Batujajar 294 Galanggang Batujajar;2007;3;1000000;12000000;;;2018/06/07;3;3
;Hatchi Takoyaki;Frozen Food;Frozen Food;Puri Intan Lestari Blok A3 No.29 RT.01 RW.16 Batujajar Timur Batujajar;1989;5;20000000;70000000;;;2018/06/08;3;3
;kelompok uppks merpati 8;keripik singkong manis pedas;keripik singkong manis pedas;pk.gunung aki rt 02/08 batujajar timur batujajar;2015;5;20000000;65000000;;;2018/06/09;3;3
;warung kecil;makanan ringan;makanan ringan;kp.seketando rt 02/17 cangkorah batujajar;2010;12;3500000;50000000;;;2018/06/10;3;3
;bandros;;;kp.haur nyondol rt 01/06 cangkorah batujajar;2015;4;2000000;10000000;;;2018/06/11;3;3
;Warung Bandros;bandros;bandros;kp.cigintungrt 02/02 cangkorah batujajar;2007;6;1000000;5000000;;;2018/06/12;3;3
