NO;Nama UMKM;Komoditi, Produk Utama;Sektor Usaha;Alamat;Tahun Berdiri;Tenaga Kerja;Aset;Omzet;Telepon;Pemasaran;Tanggal;Jenis;Kecamatan
;RISKA                           ;Ind Barang dari Karet (25119);Kerajinan;P:Jl.Tipar Timur Rt.06/01  Laksanamekar Padalarang;2004;10;510000;525000;;Lokal;2019/01/12;2;1
;SUBUR; Industri Kapur;Kerajinan;P : Jl. Raya Pamuncatan  Padalarang   Padalarang;2009;8;510000;700000;;Lokal;2019/01/13;2;1
;TRISTAR PANGAN SEJAHTERA;Industri Mamin        500 Ton;Kerajinan;`P:Kp.Cibacang Cimerang Padalarang;2002;8;385000;500000;;Lokal;2019/01/14;2;1
;Citra Onix;Onix;Kerajinan;Jl. Raya Pamucatan no 10  Padalarang;2001;7;700000;530000;081395143295;Lokal;2019/01/15;2;1
;SOPHAQUA  ;AMDK (15542);Kuliner;P:Jl.Ciburuy No.    Ciburuy Padalarang;2005;3;500000;520000;;Lokal;2019/01/16;2;1
;THE NINE ;Makanan dan minuman / selai pindakas /Sirup                       120 ton;Kuliner;P : Jl.Industri Cimareme III No.25  Cimerang Padalarang;2002;8;320000;540000;;Lokal;2019/01/17;2;1
;THE NINE ;Makanan dan minuman / selai pindakas /Sirup                       120 ton;Kuliner;P : Jl.Industri Cimareme III No.26 Cimerang Padalarang;2002;8;320000;540000;;Lokal;2019/01/18;2;1
;Harapan Kurnia Textile;Textile;Kerajinan;P : Jl.Industri Cimareme III No.27 Cimerang Padalarang;2010;8;420000;550000;;Lokal;2019/01/19;2;1
;PT. Multti Marmer Alam;Batu Marmer;Kerajinan;P : Jl Raya Padalarang Ciburuy Padalarang;2009;18;450000;650000;;Lokal;2019/01/20;2;1
;PT. Gema Parahyangan Plastik;Industri Plastik;kerajinan;Kp Pamuncatan RW 02 RW 04 Ciburuy Padalarang;2007;22;500000;650000;;Lokal;2019/01/21;2;1
;PT. Pinus Merah Abadi;Ind Kertas dan Plastik;kerajinan;Jl Raya Padalarang No 21 Ciburuy Padalarang;2008;17;600000;680000;;Lokal;2019/01/22;2;1
;PIDO.BUSANA;Pakaian Jadi 27.000 Ptg;Fashion;P:Gg.Minatu No.83 Rt.02/01 Lembang Lembang;2010;20;510000;800000;;Bandung;2019/01/23;2;2
;PT HACE SUNRISE ;Banga - Barang dr karet                    50.000 Pasang;Kerajinan;P : JL Sukaresmi No 15 Mekarwangi Lembang;2009;25;510000;650000;;;2019/01/24;2;2
;CV SURYA MANDIRI;Industri Pupuk Pertanian (pupuk cair pertanian)                    4 Ton;Kerajinan;P : Kp.Nyampay RT.01/06  Langen Sari Lembang;2011;4;610000;690000;02235316t;lokal;2019/01/25;2;2
;PT.ERA SUKA;Industri Obat Tradisional Obat herbal ;Kerajinan;P:Cikareumbi Kp Pangkalan Rt.004/008  Cikidang Lembang;2009;4;590000;780000;;Lokal;2019/01/26;2;2
;CV.PRIMA INDOJAYA;Spare part;Kerajinan;P:Jl.Sesko AU Rt.01/12. Lembang Lembang;2012;15;410000;650000;;;2019/01/27;2;2
;CIKO MILK ;Industri Susu                                    52.000 Ltr;Kuliner;P : Kp. Cikole RT.02/15  Cikole Lembang;2008;22;710000;820000;;;2019/01/28;2;2
;Farmhouse ;Sentra Susu Murni                     ;Kuliner;Jl Raya Lembang No 108 RT 08 RW 9 Gudang Kahuripan Lembang;2010;30;900000;1000000;;Lokal dan Bandung;2019/01/29;2;2
;Rumah Makan Balibu;Makanan khas Sunda                 ;Kuliner;Jl Raya Tangkuban Perahu No 423A, Cibogo Cibogo Lembang;2008;26;700000;900000;;;2019/01/30;2;2
;Audrey Scenic Dining;Restoran Makanan dan Minuman              ;Kuliner;Jl Panorama Indah No A9  Kayuambon Lembang;2012;20;900000;800000;;;2019/01/31;2;2
;Lina Kaktus;Tanaman             ;agrobisnis;Jl Raya Maribaya Kp. Sukarame No 68 RT02 RW 02. Langen Sari Lembang;2013;20;900000;800000;;;2019/02/01;2;2
;Bellva Adventure Indonesia;Event Organizer          ;jasa lainya;Jl Raya Maribaya Kp Cikidang RT 01 RW 02 Langen Sari Lembang;2009;40;1000000;1200000;;;2019/02/02;2;2
;Sindang Reret ;Resto         ;Kuliner;Jl Raya Cikole KM 22 Cikole Lembang;2010;16;700000;900000;;;2019/02/03;2;2
;Berry Bento Farm ;Tanaman  ;agrobisnis;Jl Maribaya RT 03 RW 03 Langen Sari Lembang;2017;15;760000;870000;;;2019/02/04;2;2
;PT PANCAR SELATAN;Industri pengemasan makanan                     200 Ton;Kerajinan;P : Kp.Cangkuang Rt 01/09  Giriasih Batujajar;2007;10;510000;640000;022843524;Nasional;2019/02/05;2;3
;PT Sanwa Parts;Industi Sparepart Elektronik;elektronik;Jl Industri Batujajar Permai 1 No 3 Giriasih Batujajar;2005;18;610000;785000;;Bandung Raya;2019/02/06;2;3
;PT Mils CGNP;Industri Textlile;Kerajinan;Jl Raya Batujajar KM 3 Giriasih Batujajar;2009;21;575000;700000;;Lokal;2019/02/07;2;3
;PT. Panca Buana Abadi;Industri Textlile dan Garment;Kerajinan;Jl ladar Rt 04 RW 08 Laksana Mekar Batujajar;2010;13;595000;900000;;Nasional;2019/02/08;2;3
;PT. SkinSol Kosmetik Industri;Industri Kosmetik;Kecantikan;Jl ladar Kp Sindang Sari RT 01/RW 06 Laksana Mekar Batujajar;2011;49;895000;1100000;;Nasional;2019/02/09;2;3
;PT Adonai Alfa Omega (Jordan Bakery Gruo);Industri Adonan Kue / Pastery;Kuliner;Jl Raya Batujajar No 201 Giriasih Batujajar;2007;70;995000;2200000;;Nasional;2019/02/10;2;3
;PT Ateja Tritunggal;Industtri Tekstil;Kerajinan;Jl Raya Batujajar KM 2,8 Giriasih Batujajar;2008;67;915000;1200000;;Nasional;2019/02/11;2;3
;PT Indorama Synthetic;Industtri Tekstil;Kerajinan;Jl Raya Batujajar KM 25,5 Giriasih Batujajar;2005;40;1115000;1800000;;Nasional;2019/02/12;2;3
;PT Beton Elemen Persada;Industtri Bata, Beton;Kerajinan;Jl Raya Batujajar KM 5 No 18 Giriasih Batujajar;2011;32;1205000;1140000;;Nasional;2019/02/13;2;3
;PT Namasindo Plas;Industtri makanan Beku;kuliner;kp. Cangkorah No 7 RT 02 RW 01 Giriasih Batujajar;2010;11;895000;760000;;Nasional;2019/02/14;2;3
;PT CCH Indonesia;Indsutri Baterai;jasa lainya;kp. Desa No 15 RT 04 RW 08  Giriasih Batujajar;2009;18;970000;1000000;;Nasional;2019/02/15;2;3
