"NO","Nama UMKM","Komoditi, Produk Utama","Sektor Usaha","Alamat","Tahun Berdiri","Tenaga Kerja","Aset","Omzet","Telepon","Pemasaran","Kecamatan"
"20","CV PESONA","Percetakan                                       2.500 rim","jasa lainnya","P : Jl.Andir No.22 Rt 4/15 Cibeunying Kaler Bandung Padalarang Padalarang","2002","7","150,000","350,000","  895,178,383 ","Lokal","1"
"21","BINTANG MAS","Industri Kapur, Batu Kapur                      3,000 Ton","pertambangan","P : Kp Pamuncatan Km.12  Ciburuy Padalarang","2007","10","153,000","173,000","  852,521,031 ","lokal","1"
"22","BERKAT PLESINDO       ","Ind Barang dari Plastik (25209.9799)","perdagangan","P:Jl.Industri Cimareme III No.11  Cimareme Padalarang","2012","3","175,000","195,000","","Nasional","1"
"23","CV MITRA ABADI SEJAHTERA","Makanan & Minuman Agar - agar Jelly & Makanan dalam kemasan                                  150.000 Cup","kuliner","P : Jl Raya Purwakarta  Cempaka Mekar Padalarang","2011","13","180,000","153,000","  812,671,802 ","Nasional","1"
"24","CV MITRA ABADI SEJAHTERA","Makanan & Minuman Agar - agar Jelly & Makanan dalam kemasan                                  150.000 Cup","kuliner","P : Jl Raya Purwakarta  Cempaka Mekar Padalarang","2005","13","180,000","272,000","","Nasional","1"
"25","PB LIMIT ","Industri Kapur, Calcium Carbonat                 7.500 Ton ","pertambangan","P : Jl. Pamuncatan Rt 2/10 Padalarang                                     Padalarang","2007","17","180,000","384,000","  22,678,891 ","Nasional","1"
"26","JOE""S QEFIR","Susu Yoghurt","kuliner","P:Jingga Komara Wetan No.19 Ciendeuy Cipeundeuy Padalarang","2010","2","190,000","140,000","","Lokal","1"
"27","PT.MEDITHEK INDONESIA ","Industri Alat Kesehatan dan Perlengkapan Lainnya (Baju,Perlak,Disposable,Plester)(32509)","jasa kesehatan","P:Jl Industri II No.36 Cibingbin  Laksanamekar Padalarang","2002","8","200,000","254,000","  22,129,248 ","Nasional","1"
"28","CV.AL-HADID 20 ","Industri Bahan Amelioran (Pembenah Tanah)(Pupuk Ziolite,Tepung Batu,Garam Pertanian)(20214)","pertambangan","P.Kp Cipadangmanah Rt.004/016  Padalarang Padalarang","2008","5","200,000","240,000","","Nasional","1"
"29","PD.AREAL GEMBALA","Ind Penggergajian Kayu  500 m2","kerajinan","P:Jl.Purwakarta Rt.01/02  Cempaka Mekar Padalarang","2014","10","200,000","252,000","","Lokal","1"
"30","CV.WAROENG KUPA /  NIPIK:090.32.06.00.0092","Industri Percetakan  7000 rim","jasa lainnya","P:Jl.Wangsa Madya Wetan No.30 Rt.01/08 Padalarang   Padalarang","2015","7","200,000","145,000","  22,621,532 ","Lokal","1"
"31","PT.BINTANG BANDUNG SEJATI          ","Industri Barang dari Semen Batako (26421)","jasa lainnya","P:Jl.Ry Batujajar  Laksanamekar Padalarang","2010","21","200,000","290,000 ","","Nasional","1"
"32","CV.GARUDA MAS  ","Ind Pengintiran Benag & Pertenunan (17112.17114)","jasa lainnya","P:Jl.Tipar Barat No.8  Laksanamekar Padalarang","2016","25","200,000","225,000","","Nasional","1"
"33","SINAR BARU","Industri Kapur","pertambangan","P:Kp.Ciburuy No.303  Padalarang Padalarang","2015","4","200,000","258,000 ","","Nasional","1"
"34","Siti khoeriah","Angkot","jasa lainnya","Rt 03/Rw 05 Jayamekar padalarang","1922","2","300,000","159,000","","Lokal","1"
"35","Toko Dila Kosmetik","Kosmetik","jasa laainya","Jl. Ciloa No 11 RT 04 RW 02  Padalarang padalarang","2019","2","50000","90000","","Lokal","1"
"36","PD. Mulana Jaya Kusen","Meubel","Kerajinan","Jl. PasirKihiang Padalarang padalarang","2018","8","80000","100000","","Lokal","1"
"37","Nemay Food","Makanan/Snack","Kuliner","Jl. Cisalak No 41 RT01 RW01 Padalarang padalarang","2017","4","74000","97000","","Lokal","1"
"38","Ibenk Cell","Pulsa","Elektronik","Jl. Cisalak Ngamprah RT08 RW04 Ngamprah padalarang","2017","2","74000","70000","","Lokal","1"
"39","Toko Intan Collection 77","Peralatan Rumah","Kerajinan","Jl. Sukatani  Ngamprah padalarang","2016","6","60000","120000","","Lokal","1"
"40","Kedai Nasi Kebuli JULEHA","Makanan","Kuliner","Jl. Telallaja RT 02 RW 06 Ngamprah padalarang","2014","3","30000","90000","","Lokal","1"
"41","Pengrajin","Jaring terapung Ikan","jasa lainnya","Kp. Sinarmukti Selacau Selacau Batujajar","2012","6","55000","60000","","","3"
"42","Daur ulang plastik","Daur ulang plastik","daur ulang","Kp. Sciceuri   No. 44 RT. 01 RW. 02 Cangkorah Batujajar","2015","4","55000","70000","","","3"
"43","Pengrajin","Meubel (Lemari)","kerajinan","Kp. Seketando RT. 02 RW. 03 Cangkorah Batujajar","2015","5","60000","90000","","","3"
"44","Pengrajin","Daur ulang limbah","daur ulang"," Batujajar Timur Batujajar","2017","2","60000","50000","","","3"
"45","Sanggar Bambu Cantik","Kursi Bambu","kerajinan","Jl. Raya Batujajar  Selacau Batujajar","2016","14","70000","50000","087821844848","","3"
"46","Prima Catering","Catering","kuliner","Jl.Pasirpaku RT 02/07 Desa  Giriasih Batujajar","2013","35","70000","80000","","","3"
"47","Tiga Saudara","Catering","kuliner","Blok Pesantren RT 01/07 Desa  Batujajar Barat  Batujajar","2015","25","80000","90000","","","3"
"48","JASA KARYA","Ind Keperluan khusus thdp Logam","jasa lainnya","P.Kp.BBK Pari Rt.01/04 Batujajar Timur Batujajar","2017","6","85000","80000","","","3"
"49","Karya jaya","Benkel Mobil","reparasi motor dan mobil","Jl.Raya Kaum Selatan (depan PDAM) Batujajar Barat Batujajar","2015","7","120000","180000","081394309238","","3"
"50","PK.JANGKAR                       ","Ind Kerupuk dan Lainnya (15496)","kuliner","P:Kp.Cihurip Rt.03/12  Pangauban Batujajar","2010","7","150000","180000","","","3"
"51","CV.NEW HILL KNITT         ","Indutri Kain Rajutan (13911)","kerajinan","P:Jl Sinar Mukti Rt.002/004  Selacau Batujajar","2017","13","200000","260000","","","3"
"52","Pengrajin","Agen Gas","jasa lainnya"," Batujajar Barat Batujajar","2017","8","300000","400000","","","3"
"53","Cireng Isi Pasundan","Cireng Isi, Pempek","kuliner","Jl. Sinar Jaya No 122 A Sinarjaya Batujajar","2018","2","80000","100000","085624016378/081910084968","Lokal","3"
"54","Zanita","Rumah Makan","kuliner","kp.dunguspurna rt 01/08 Galanggang Batujajar","2018","13","565000","400000","08782108271","Lokal","3"
"55","Warung Kerajinan","Cindramata","kerajinan","Kp. Sinarmukti Selacau Selacau Batujajar","2019","3","100000","125000","","Lokal","3"
"56","Toko Pakan Ungkas","Pakan Unggas","jasa lainnya","kp. sciceuri   No. 49 RT. 01 RW. 02 Cangkorah batujajar","2019","2","80000","75000","","","3"
"57","Senja Motor","bengkel Motor","reparasi motor dan mobil","Jl. Cimareme No 89 A Cimareme Batujajar","2018","6","150000","225000","","","3"
